Invoice,StockCode,Quantity,InvoiceDate,Price,CustomerID,Country,TotalAmount,Month,Description_ASSORTED COLOUR BIRD ORNAMENT,Description_CREAM HANGING HEART T-LIGHT HOLDER,Description_JUMBO BAG RED RETROSPOT,Description_LUNCH BAG  BLACK SKULL.,Description_LUNCH BAG RED RETROSPOT,Description_PARTY BUNTING,Description_POPCORN HOLDER,Description_REGENCY CAKESTAND 3 TIER,Description_SET OF 3 CAKE TINS PANTRY DESIGN 
536365,85123A,6,2010-12-01 08:26:00,2.55,u1785,United Kingdom,15.299999999999999,12,0,1,0,0,0,0,0,0,0
536373,85123A,6,2010-12-01 09:02:00,2.55,u1785,United Kingdom,15.299999999999999,12,0,1,0,0,0,0,0,0,0
536375,85123A,6,2010-12-01 09:32:00,2.55,u1785,United Kingdom,15.299999999999999,12,0,1,0,0,0,0,0,0,0
536378,20725,10,2010-12-01 09:37:00,1.65,u14688,United Kingdom,16.5,12,0,0,0,0,1,0,0,0,0
536392,84879,16,2010-12-01 10:29:00,1.69,u13705,United Kingdom,27.04,12,1,0,0,0,0,0,0,0,0
536395,21212,24,2010-12-01 10:47:00,0.55,u13767,United Kingdom,13.200000000000001,12,0,0,0,0,0,0,0,0,0
536396,85123A,6,2010-12-01 10:51:00,2.55,u1785,United Kingdom,15.299999999999999,12,0,1,0,0,0,0,0,0,0
536401,85123A,4,2010-12-01 11:21:00,2.95,u15862,United Kingdom,11.8,12,0,1,0,0,0,0,0,0,0
536401,20725,1,2010-12-01 11:21:00,1.65,u15862,United Kingdom,1.65,12,0,0,0,0,1,0,0,0,0
536404,21212,24,2010-12-01 11:29:00,0.55,u16218,United Kingdom,13.200000000000001,12,0,0,0,0,0,0,0,0,0
536404,20727,10,2010-12-01 11:29:00,1.65,u16218,United Kingdom,16.5,12,0,0,0,1,0,0,0,0,0
536406,85123A,8,2010-12-01 11:33:00,2.55,u1785,United Kingdom,20.4,12,0,1,0,0,0,0,0,0,0
536408,84879,8,2010-12-01 11:41:00,1.69,u14307,United Kingdom,13.52,12,1,0,0,0,0,0,0,0,0
536408,21212,24,2010-12-01 11:41:00,0.55,u14307,United Kingdom,13.200000000000001,12,0,0,0,0,0,0,0,0,0
536409,22197,2,2010-12-01 11:45:00,0.85,u17908,United Kingdom,1.7,12,0,0,0,0,0,0,1,0,0
536409,85099B,2,2010-12-01 11:45:00,1.95,u17908,United Kingdom,3.9,12,0,0,1,0,0,0,0,0,0
536412,20727,3,2010-12-01 11:49:00,1.65,u1792,United Kingdom,4.949999999999999,12,0,0,0,1,0,0,0,0,0
536412,22197,5,2010-12-01 11:49:00,0.85,u1792,United Kingdom,4.25,12,0,0,0,0,0,0,1,0,0
536412,20725,1,2010-12-01 11:49:00,1.65,u1792,United Kingdom,1.65,12,0,0,0,0,1,0,0,0,0
536415,21212,2,2010-12-01 11:57:00,0.55,u12838,United Kingdom,1.1,12,0,0,0,0,0,0,0,0,0
536464,85099B,1,2010-12-01 12:23:00,1.95,u17968,United Kingdom,1.95,12,0,0,1,0,0,0,0,0,0
536464,84879,8,2010-12-01 12:23:00,1.69,u17968,United Kingdom,13.52,12,1,0,0,0,0,0,0,0,0
536464,22197,5,2010-12-01 12:23:00,0.85,u17968,United Kingdom,4.25,12,0,0,0,0,0,0,1,0,0
536464,21212,1,2010-12-01 12:23:00,0.55,u17968,United Kingdom,0.55,12,0,0,0,0,0,0,0,0,0
536464,21212,2,2010-12-01 12:23:00,0.55,u17968,United Kingdom,1.1,12,0,0,0,0,0,0,0,0,0
536464,22197,6,2010-12-01 12:23:00,0.85,u17968,United Kingdom,5.1,12,0,0,0,0,0,0,1,0,0
536502,84879,16,2010-12-01 12:36:00,1.69,u16552,United Kingdom,27.04,12,1,0,0,0,0,0,0,0,0
536502,85123A,6,2010-12-01 12:36:00,2.95,u16552,United Kingdom,17.700000000000003,12,0,1,0,0,0,0,0,0,0
536520,85123A,3,2010-12-01 12:43:00,2.95,u14729,United Kingdom,8.850000000000001,12,0,1,0,0,0,0,0,0,0
