Invoice,StockCode,Quantity,InvoiceDate,Price,CustomerID,Country,TotalAmount
536365,85123A,6,2010-12-01 08:26:00,2.55,u1785,United Kingdom,15.299999999999999
536367,84879,32,2010-12-01 08:34:00,1.69,u13047,United Kingdom,54.08
536373,85123A,6,2010-12-01 09:02:00,2.55,u1785,United Kingdom,15.299999999999999
536375,85123A,6,2010-12-01 09:32:00,2.55,u1785,United Kingdom,15.299999999999999
536378,20725,10,2010-12-01 09:37:00,1.65,u14688,United Kingdom,16.5
536378,21212,120,2010-12-01 09:37:00,0.42,u14688,United Kingdom,50.4
536386,85099B,100,2010-12-01 09:57:00,1.65,u16029,United Kingdom,165.0
536390,85123A,64,2010-12-01 10:19:00,2.55,u17511,United Kingdom,163.2
536390,22197,100,2010-12-01 10:19:00,0.72,u17511,United Kingdom,72.0
536390,85099B,100,2010-12-01 10:19:00,1.65,u17511,United Kingdom,165.0
536392,84879,16,2010-12-01 10:29:00,1.69,u13705,United Kingdom,27.04
536394,85123A,32,2010-12-01 10:39:00,2.55,u13408,United Kingdom,81.6
536395,84879,32,2010-12-01 10:47:00,1.69,u13767,United Kingdom,54.08
536395,21212,24,2010-12-01 10:47:00,0.55,u13767,United Kingdom,13.200000000000001
536396,85123A,6,2010-12-01 10:51:00,2.55,u1785,United Kingdom,15.299999999999999
536401,85123A,4,2010-12-01 11:21:00,2.95,u15862,United Kingdom,11.8
536401,20725,1,2010-12-01 11:21:00,1.65,u15862,United Kingdom,1.65
536404,22197,36,2010-12-01 11:29:00,0.85,u16218,United Kingdom,30.599999999999998
536404,21212,24,2010-12-01 11:29:00,0.55,u16218,United Kingdom,13.200000000000001
536404,20727,10,2010-12-01 11:29:00,1.65,u16218,United Kingdom,16.5
536406,85123A,8,2010-12-01 11:33:00,2.55,u1785,United Kingdom,20.4
536408,84879,8,2010-12-01 11:41:00,1.69,u14307,United Kingdom,13.52
536408,21212,24,2010-12-01 11:41:00,0.55,u14307,United Kingdom,13.200000000000001
536409,22197,2,2010-12-01 11:45:00,0.85,u17908,United Kingdom,1.7
536409,85099B,2,2010-12-01 11:45:00,1.95,u17908,United Kingdom,3.9
536412,20727,3,2010-12-01 11:49:00,1.65,u1792,United Kingdom,4.949999999999999
536412,22197,5,2010-12-01 11:49:00,0.85,u1792,United Kingdom,4.25
